Sheet,Section,Current_Condition,Required_Update,Evidence_Source,Exact_Cell_or_Range,Risk,Dependency,Decision,Reason
OGL,Lease sweep completeness,8 leases carried; no release/surrender/extension/ratification/top-lease sweep for 03/2023-08/05/2026,Run the full per-tract lease sweep required by Section 5A once county access is available.,Not performed — Blocked this session: no live county/OCC/SOS/SEC source reachable (HTTPS 403 for every host).,OGL!entire sheet,CRITICAL,Blocked by county access,CURATIVE_REQUIRED,A newer lease on any currently unleased owner (35 Title rows show 'None') would change the OGL sheet materially. None of that window was searched.
PLAT,Well symbols and legend,11 wells plotted; producing/plugged legend present; LeGrand #2-32 conflict noted,Update the legend to state the 2022-08 production cutoff. Retain the LeGrand #2-32 location conflict.,Well master (this packet),PLAT!rows 267-270,MEDIUM,Depends on Well 1,APPLY,Legend says 'Producing gas well (OTC series through the 2022-08 reporting cutoff)' — accurate. The conflict preservation for LeGrand #2-32 is correct practice and must not be silently resolved.
PLAT,Tract diagram and spacing,Seven tracts drawn; Order 156126 pooling note present,No change.,PLAT rows 220-270,PLAT!rows 215-270,LOW,None,APPLY,"Tract outlines, acreages and the section-wide pooling note are consistent with the Title and OGL sheets."
Runsheet,"Legal description column, entries 1-168",166 of 208 entries carry 'Section 32 — exact legal not extracted',Restore the complete legal description on each affected entry from the recorded face or county index.,Runsheet register (this packet),"Runsheet!entries 1-168, Legal Description column",HIGH,Blocked by county access for faces not already in the image corpus,CURATIVE_REQUIRED,"Section 6 forbids replacing detailed legal descriptions with 'Section 32'. Entries 169-208 already carry complete tract legals, proving the format is available — the first block was simply not extracted."
Runsheet,Post-cutoff Diversified filings,"2434/751, 2451/4, 2476/121, 2480/824 present as index leads only",Obtain and read all four recorded faces.,Runsheet entries 54-57; Beckham County index (held corpus),Runsheet!entries 54-57,CRITICAL,Blocked by county access,CURATIVE_REQUIRED,"2434/751 is an ASSIGNMENT FROM Diversified Production LLC and DP Legacy Central LLC TO Teocalli Exploration LLC. If Section 32 is within it, Diversified is not the current claimant and the report's central premise fails."
Runsheet,Search-scope disclosure,Cutoff disclosed only on a hidden sheet,Add a visible dated search-scope entry stating the 03/02/2023 forward cutoff and the 2022-08 production cutoff.,Hidden PRESENT VESTING CONTROL sheet,Runsheet!new entry 209,HIGH,None,APPLY,A reader of the visible Runsheet cannot tell that the search stops in March 2023.
Runsheet,Historical instruments,"208 entries retained including released, surrendered and superseded instruments",No deletions.,Runsheet entries 1-208,Runsheet!entries 1-208,LOW,None,APPLY,Correct. Section 6 forbids deleting a historical instrument merely because it is not currently active. Retain all.
Tract 1,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 1!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 2,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 2!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 3,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 3!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 4,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 4!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 5,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 5!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 6,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 6!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
Tract 7,Chronological chain and ending-owner schedule,Chain columns populated with colour coding (blue face-proved / yellow estimate / red unresolved); ending schedule shows named owners including ASSUMED rows,Keep historical parties in the chronological columns. Restore unresolved wording in the ending schedule. Do not name assumed successors to force a balance.,Tract update register (this packet); hidden TITLE CHAIN QA sheet,Tract 7!chain matrix and ending schedule,CRITICAL,"Blocked by live forward search and, for Tract 3, the Ola Keathley final decree",CURATIVE_REQUIRED,The hidden TITLE CHAIN QA sheet records 'Confirmed present record owner' at or near zero for this tract while the ending schedule displays named present owners. Arithmetic closure to the tract acreage is not title proof.
WI 1,Leasehold succession chain,12 chronological steps from Staghorn 1697/236 through 2400/551 into Diversified Production LLC; percentages face-verified,Add the four untraced post-2400/551 filings as an express open step.,WI master (this packet),WI 1!succession rows,CRITICAL,Blocked by county face retrieval,CURATIVE_REQUIRED,The chain is well built and honestly labelled 'LEASEHOLD IDENTITY PATH ONLY'. Its defect is that it stops at 03/02/2023 while four later Diversified-family filings sit unread in the Runsheet.
WI 1,Diversified vs OCM Denali separation,Kept separate; 51.25% / 48.75% split shown on distinct rows,No change.,2371/470-494 page 2 face read,WI 1!claimant rows,LOW,None,APPLY,Correctly separated as the task requires. Preserve exactly.
WI 1,Exact WI / NRI,Stated as 'EST. quantum not calculable from held exhibits',No change.,WI master (this packet),WI 1 / Title!row 192,LOW,Blocked by unheld exhibits,APPLY,"Correct. Exhibits A, B, C and the Excluded Assets schedules are not held, so no exact WI or NRI may be stated."
WI 2,"Depth, formation and wellbore limits","11,100 ft / top Morrow / 19,480 ft tiers; Pearl wellbore carve 1349/34; ORRI below 11,100 ft at 1784/959; 845/47 1/8 ORRI flagged EST.*",Retain. Confirm the 845/47 ORRI reservation against the recorded face.,OGL master; open-item register,WI 2!depth/limit rows,HIGH,Blocked by county face retrieval,CURATIVE_REQUIRED,"The depth-severance structure is the basis for every 'HBP limited by depth' classification, so an unconfirmed ORRI reservation and unread exhibits propagate into the OGL and Title sheets."
Well 1,Eleven-well roster,"11 wells with APIs, operators, statuses; Carlson 32-11-25 7H excluded",Add the production-evidence cutoff to every producing row. Resolve the Crook #1-32 AC/DRY conflict and the LeGrand #2-32 location conflict.,Well master (this packet),Well 1!rows 1343-1354,HIGH,Blocked by live OCC access,CURATIVE_REQUIRED,Roster and exclusions are sound. The defects are the stale production window and two preserved conflicts.
Well 1,Tract 5 maintaining lease,Three producing wells on Tract 5; maintaining leasehold expressly unresolved (63/34 excluded as terminated of record); all three Tract 5 Title rows show 'None active',Carry this forward as a named unresolved issue on a visible sheet.,Well master; Title-to-OGL coverage (this packet),"Well 1!rows 1350,1352,1353; Title!rows 147-149",CRITICAL,Blocked by county lease sweep,CURATIVE_REQUIRED,"Three wells producing a combined 3.68 Bcf under no identified lease, on a tract whose every owner is shown unleased. This is a material unresolved issue, not a clerical gap."
Hidden support sheets,PRESENT VESTING CONTROL,"Complete per-branch present-vesting register with 'Later instrument located?', 'Present-owner status', 'Missing link' and 'Exact next document required' columns",Surface its conclusions onto the visible Title sheet.,"Hidden sheet, clean-dump rows 1578-1587+",Hidden PRESENT VESTING CONTROL sheet,CRITICAL,None — the data already exists,APPLY,This hidden sheet is the most honest artefact in the workbook and it directly contradicts the visible Title sheet. Its 'QUANTIFIED UNRESOLVED RESIDUAL' and 'LATEST LOCATED RECORD OWNER' classifications are what Title should show.
Hidden support sheets,TITLE CHAIN QA,"Per-tract proof-basis and owner-status fractions; 'Confirmed present record owner' at 0.000000 for R1, R2, R3, R5, R7",Surface the confirmed-present figures.,"Hidden sheet, clean-dump rows 2190-2207",Hidden TITLE CHAIN QA sheet,CRITICAL,None,APPLY,States plainly that 'No tract is documentarily closed' and 'Proof basis and owner status are independent. Status totals are not added to proof basis.' The visible report does not convey this.
Hidden support sheets,Open-item / adjudication register,Records 267/638 competing out-conveyance; 264/432 vs 244/432 citation conflict; 845/47 ORRI EST.*; 341/538 no bridge to OK48147.001.1; 281/3 miscitation candidate,Surface each open item that affects a displayed owner or lease.,"Hidden sheet, clean-dump rows 2180-2183, 2209",Hidden open-item register,HIGH,Blocked by county face retrieval,APPLY,"267/638 (Euramerica 1973-A to First Western Oil & Gas Inc., undivided one-half of the NE/4) would defeat the Great Western 10 NMA Title row and OGL 8 entirely, yet it is disclosed only on a hidden sheet."
Hidden support sheets,Lease-relationship register,"Amendments 253/308-311, 247/263-264, 247/277-278, 247/279-280; release 261/564-565",Retain; cross-reference to the OGL sheet.,"Hidden sheet, clean-dump rows 2066-2070",Hidden lease-relationship register,MEDIUM,None,APPLY,Useful lease-history detail correctly kept out of the active OGL sheet. Retain as lease history.
All sheets,Cell comments,Zero cell comments workbook-wide (98 removed in V7; 10 OGL comments merged into the visible Source/Qualification column),No change.,V7 receipt validation block,All sheets,LOW,None,APPLY,Correct — no hidden qualifications remain. This was a genuine improvement in V7 and must be preserved.
All sheets,Formulas and reconciliation,"5,113 formulas recalculated with zero errors; 26 of 26 reconciliation checks balanced; seven tract totals foot to 640.000000",No change to the arithmetic. Add a visible statement that arithmetic reconciliation is not title proof.,V7 receipt validation block,All sheets; Title report totals,HIGH,None,APPLY,"Section 4 forbids treating arithmetic reconciliation as title evidence. The report currently presents a perfectly balanced set of totals built on 10 assumed owners and 76 unconfirmed ones, which reads as far more certain than it is."
