Issue_ID,Severity,Blocks_Turn_In,Tract_ID,Title_Cell_or_Sheet_Row,Party,Instrument,Book_Page,Issue_Type,Issue_Description,Why_It_Matters,Needed_Document,Recommended_Action,Source_Checked,Confidence,Status
C-12,Low,No,—,Title F cells vs OGL col O,—,—,—,LEASE TERM MISMATCH,Title expiration convention vs register dates differ by one day on some leases (anniversary vs day-after).,Cosmetic; disclosure carried.,Lease images for expiration convention,Confirm convention from images,NR#81; SOURCE_QUEUE #7,Medium,OPEN — DISCLOSED
C-13,Medium,Yes,All,Name_Index (64 groups),Multiple,—,—,NAME ALIAS UNCONFIRMED,64 alias-candidate groups flagged; none merged without instrument support.,Improper merges corrupt chains; unmerged aliases fragment ownership.,"Instruments reciting a/k/a, trust, or estate capacity",Examiner review of each group against images,Name_Index; NR#1-64; SOURCE_QUEUE #24,Medium,OPEN
C-14,Medium,Yes,"3, 4, 7, 10","OGL H70; Title B48, B57, B124",Kevin Warner Johnson Trust,OGL 69,2693/345,TRUST CAPACITY UNCONFIRMED,"Top-lease lessor recorded as 'Kevin Johnson Johnson, Trustee' — possible duplicated surname; trust capacity retained on Title.",Lessor-name defect could cloud the top lease.,Lease image Bk 2693/0345,Confirm grantor name from image,OGL row 70; NR#69; SOURCE_QUEUE #3,Medium,OPEN
C-15,Medium,Yes,2,Tract 2 EO4,—,Decree,2700/395,AMBIGUOUS LEGAL / DATE ANOMALY,Effective-date serial 43500 (2019) recorded on a 2026 decree.,Wrong effective date can reorder the chain.,Decree image Bk 2700/395,Confirm date from image,NR#67; SOURCE_QUEUE #1,Medium,OPEN
C-16,Medium,Yes,2,"Tract 2 EM5, ER5",—,—,—,NMA MISMATCH,3600 NMA' entries likely mean 3.600 NMA.,Order-of-magnitude error if wrong.,Instrument image behind the entries,Confirm before correcting,NR#68; SOURCE_QUEUE #2,Medium,OPEN
C-17,High,Yes,All,WI 1 / WI 2; Title WI blocks,Multiple assignees,21 lease assignments,various,LEASEHOLD CHAIN GAP,Assignment percentages not stated in register; WI/NRI not calculable of record.,Current WI ownership cannot be certified.,Assignment images with exhibits,Obtain exhibits; rebuild WI math,WI_Chain_Audit; NR#76; SOURCE_QUEUE #4,Medium,OPEN
C-18,Medium,Yes,4,"Title B60, B61",Calvin Wayne Kirk; William Bryant / Kathy Bryant,—,—,MISSING ACQUISITION,2.10 NMA each carried as cursory estimates; no recorded vesting instrument located.,Estimates cannot be certified.,Vesting deeds for E/2 NW/4 interests,Locate instruments or remove at final,Title G60/G61; Title_Owner_Check,Low,OPEN
C-19,High,Yes,All,Runsheet (280 rows),Multiple,—,—,MISSING PROBATE / MISSING DEED,"280 runsheet rows where grantor's source of title is not matched — heirs, name variants, or missing acquisitions.",Chain gaps behind multiple current credits.,Probate/heirship/succession instruments,Work grantor-match queue against county records,NR#75; Conveyance_Audit; SOURCE_QUEUE #10,Medium,OPEN
C-20,Medium,No,All,Runsheet col L (142 rows),—,—,—,TRACT ALLOCATION UNCLEAR,142 runsheet helper tract labels use the legacy 8-tract scheme; current-scheme mapping restated in RunSheet_Clean from legals where determinable.,Mislabeled tracts mis-route conveyances.,Plat; instrument legals,Use RunSheet_Clean standardized tract column; confirm ambiguous rows from images,NR#74; Tract_Assignment_Audit; SOURCE_QUEUE #25,Medium,MITIGATED — CONFIRM AMBIGUOUS ROWS
C-21,Medium,Yes,Various,Runsheet/Tract '(and OR)' cells,Multiple,—,—,AMBIGUOUS LEGAL / VESTING,(and OR)' vesting language unresolved on several instruments.,Joint vs several vesting changes shares.,Instrument images,Resolve vesting from images,NR#66; Parsed_Owner_Check; SOURCE_QUEUE #9,Medium,OPEN
C-22,Medium,Yes,"9, 10",Title G115; Tract 10 D5,—,—,—,AMBIGUOUS LEGAL / ACREAGE,Tract 9 exception acreage (946' x 2547.60' tract) and Tract 10 nominal 40 acres not verified against plat/GLO.,Acreage drives every NMA calculation on these tracts.,Plat / GLO survey data,Verify acreages; adjust D5 values if needed,SOURCE_QUEUE #17/#18,Medium,OPEN
C-23,Medium,Yes,All,Title rows 142-147,Mortgage/lien holders,"2356/0001, 2356/0200, 2357/0001, 2357/0474",as listed,LEASEHOLD CHAIN GAP / LIENS,Mortgage/lien burden chain open; instruments not matched to releases.,Unreleased liens burden leasehold takes.,Mortgage and release images with exhibits,Match liens to releases; list survivors as exceptions,Title G144; WI blocks,Medium,OPEN
C-24,Low,No,—,Overview rows 44-50,—,—,—,CLIENT INFO,Client name and county certification date not stated in workbook.,Needed for final report cover.,Client confirmation,Obtain from client,NR#84; SOURCE_QUEUE #19,High,OPEN
C-25,Low,No,—,(workbook),—,—,—,SOURCE CONTROL,"Repair performed on the '- NHE' workbook only; external comparison workbooks, county index PDF, and QA script were not available in this session.",Cross-workbook recovery and index verification remain unperformed.,Template(78).xlsx; TITLE_QA workbook; NHE(27); AB78CC10; new17 ZIP; 12N 24W 31 Index PDF; title_qa_pass script,Re-run verification against source materials when available,Session file triage 2026-07-02,High,OPEN
