category,path,canonical_path,status,size_bytes,hash_or_identity,evidence,recommended_action,risk
git_branch,origin/claude/databossx-execution-framework-4qt7bj,origin/main,unmerged_agent_work,,3c1de5b,last commit 2026-07-24; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/security/sanitize-public-beckham-example-20260722,origin/main,unmerged_agent_work,,2ff2778,last commit 2026-07-22; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/integration/canonical-release-train-20260719,origin/main,stranded_governance_register,,4407447,last commit 2026-07-22; 7 commits ahead of main,merge doc-only branch or copy register to main (owner gate),low
git_branch,origin/claude/databossx-production-build-1qhwlx,origin/main,unmerged_agent_work,,3736318,last commit 2026-07-20; 11 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-architecture-design-4b3f4g,origin/main,unmerged_agent_work,,aa40a70,last commit 2026-07-20; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/trusted-kernel-6a87,origin/main,unmerged_agent_work,,b6d88ef,last commit 2026-07-18; 10 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/production-engineering-blueprint-27eb,origin/main,unmerged_agent_work,,440df81,last commit 2026-07-18; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/databossx-landman-helper-ecff,origin/main,unmerged_agent_work,,d300d53,last commit 2026-07-18; 10 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/copilot/build-the-data-boss-x-system,origin/main,fully_merged_or_identical_to_main,,fe53c32,last commit 2026-07-18; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/build-data-boss-x-application,origin/main,unmerged_agent_work,,c48c121,last commit 2026-07-18; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section32-runsheet-audit-tuxs07,origin/main,unmerged_agent_work,,3017d41,last commit 2026-07-18; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-32-ne4-ownership-m74lw2,origin/main,unmerged_agent_work,,0c38899,last commit 2026-07-18; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-top-100-moves-dkbt75,origin/main,unmerged_agent_work,,7daf26d,last commit 2026-07-18; 5 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/beckham-county-verification-vrhbzy,origin/main,unmerged_agent_work,,7867b5b,last commit 2026-07-18; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/section32-multi-tract-sprint-d1af,origin/main,unmerged_agent_work,,52d5dfe,last commit 2026-07-17; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/copilot/master-operations-orchestrator,origin/main,fully_merged_or_identical_to_main,,582d951,last commit 2026-07-17; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/design-databossx-ai-system,origin/main,fully_merged_or_identical_to_main,,582d951,last commit 2026-07-17; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/data-boss-x-orchestrator,origin/main,fully_merged_or_identical_to_main,,582d951,last commit 2026-07-17; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/claude/databossx-librarian-audit-idbukq,origin/main,current_audit_branch,,582d951,last commit 2026-07-17; 0 commits ahead of main,keep (this audit),none
git_branch,origin/cursor/section32-lease-chain-dfff,origin/main,unmerged_agent_work,,8cc8fc3,last commit 2026-07-16; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/section32-title-review-116d,origin/main,unmerged_agent_work,,07d49a4,last commit 2026-07-15; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/section-32-evidence-report-5250,origin/main,unmerged_agent_work,,0c7a183,last commit 2026-07-15; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/beckham-32-verification-package-dbea,origin/main,unmerged_agent_work,,515348b,last commit 2026-07-15; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/setup-dev-environment-ecff,origin/main,unmerged_agent_work,,333a298,last commit 2026-07-14; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/copilot/verify-master-evidence-tournament,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/section-32-lease-ownership-package,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/research-top-100-tools,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/process-master-prompt-data,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/determine-diversified-leasehold,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/design-autonomous-land-intelligence-system,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/cursory-oil-gas-title-report-section-32,origin/main,fully_merged_or_identical_to_main,,f77eefd,last commit 2026-07-14; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/claude/cinematic-site-v2-f462hu,origin/main,unmerged_agent_work,,7838d59,last commit 2026-07-14; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/feat/provenance-title-engine,origin/main,unmerged_agent_work,,99eb13f,last commit 2026-07-13; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/dbx/section32-file-watchers-20260713,origin/main,unmerged_agent_work,,12677d8,last commit 2026-07-13; 5 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/copilot/do-all-best-moves,origin/main,unmerged_agent_work,,7507eb2,last commit 2026-07-13; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/research-evidence-audit-57ow2n,origin/main,unmerged_agent_work,,fe16d07,last commit 2026-07-13; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/best-moves-4cxe4p,origin/main,unmerged_agent_work,,8bdea1f,last commit 2026-07-13; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/feat/multi-ai-fire-watchers,origin/main,unmerged_agent_work,,e8a7b36,last commit 2026-07-12; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/secure-orchestration-section32-5f75,origin/main,unmerged_agent_work,,3fb15b9,last commit 2026-07-12; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/publication-policy-gate-d3f5,origin/main,unmerged_agent_work,,6853cb4,last commit 2026-07-12; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/drive-command-watcher-de1a,origin/main,unmerged_agent_work,,3156e6a,last commit 2026-07-12; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/databoss-title-intelligence-ed81,origin/main,unmerged_agent_work,,b9826a7,last commit 2026-07-12; 17 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/control-plane-foundation-f469,origin/main,unmerged_agent_work,,76d699f,last commit 2026-07-12; 11 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/lease-portfolio-analysis-69prsm,origin/main,unmerged_agent_work,,74c531a,last commit 2026-07-12; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/section32-controlled-loop-04fb,origin/main,fully_merged_or_identical_to_main,,b8ffa03,last commit 2026-07-11; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/cursor/databossx-operating-system-9825,origin/main,fully_merged_or_identical_to_main,,8ef2ae3,last commit 2026-07-11; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/cursor/databoss-title-factory-ee63,origin/main,unmerged_agent_work,,86ec0f5,last commit 2026-07-11; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/copilot/dbx-section-32-full-title-report,origin/main,fully_merged_or_identical_to_main,,f496cc2,last commit 2026-07-11; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/best-moves-and-royalty-analysis,origin/main,fully_merged_or_identical_to_main,,5aba3eb,last commit 2026-07-11; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/copilot/add-features-to-user-profile,origin/main,fully_merged_or_identical_to_main,,5aba3eb,last commit 2026-07-11; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/codex/contain-public-client-metadata-20260711,origin/main,unmerged_agent_work,,2a07a44,last commit 2026-07-11; 8 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-31-title-exam-gavidf,origin/main,unmerged_agent_work,,cfa3a24,last commit 2026-07-11; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/kimi-section31-qa-audit-5lccqy,origin/main,unmerged_agent_work,,2727d09,last commit 2026-07-11; 7 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-master-directive-x5pojn,origin/main,unmerged_agent_work,,16e3412,last commit 2026-07-11; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-foundry-phase-0-qpiyf6,origin/main,unmerged_agent_work,,453121b,last commit 2026-07-11; 10 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/beckham-county-title-exam-ifgcqc,origin/main,unmerged_agent_work,,c5dbd0a,last commit 2026-07-11; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-31-title-report-sbdrsp,origin/main,unmerged_agent_work,,b7f3689,last commit 2026-07-07; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/31-12n-24w-runsheet-tracts-dojh1y,origin/main,unmerged_agent_work,,d01807a,last commit 2026-07-07; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-title-audit-xzs4dr,origin/main,unmerged_agent_work,,4d796b5,last commit 2026-07-06; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/cursor/horizon-report-generator-295a,origin/main,unmerged_agent_work,,cf7e5cf,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section31-title-engine-dx0x4l,origin/main,unmerged_agent_work,,1196063,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section31-roger-mills-app-2p7jy0,origin/main,unmerged_agent_work,,9bc866f,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section31-ownership-report-l0qyo7,origin/main,unmerged_agent_work,,d0524d0,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-31-title-report-fix-f7sw3h,origin/main,unmerged_agent_work,,6c6940d,last commit 2026-07-05; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-31-roger-mills-audit-embhc1,origin/main,unmerged_agent_work,,180a9fc,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/init-best-moves-xn8f7d,origin/main,unmerged_agent_work,,28a0584,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-title-report-engine-lqak4l,origin/main,unmerged_agent_work,,4e843d7,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-land-intelligence-gpjnkt,origin/main,unmerged_agent_work,,58f3ddd,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-land-intelligence-6yp7dv,origin/main,unmerged_agent_work,,0776e2b,last commit 2026-07-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/tender-bohr-ljjubo,origin/main,unmerged_agent_work,,71a6651,last commit 2026-07-04; 8 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-title-report-e6lz8p,origin/main,unmerged_agent_work,,9a60a95,last commit 2026-07-04; 7 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-title-report-8a5hnw,origin/main,unmerged_agent_work,,e707d63,last commit 2026-07-04; 5 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-title-analysis-cjr34a,origin/main,unmerged_agent_work,,2d9e654,last commit 2026-07-04; 12 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-reports-644bvx,origin/main,unmerged_agent_work,,bf9f4d4,last commit 2026-07-04; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/horizon-reports-organize-4zz6q5,origin/main,unmerged_agent_work,,c2a62cb,last commit 2026-07-04; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/horizon-command-center-vk3n1n,origin/main,unmerged_agent_work,,dbfeec3,last commit 2026-07-04; 11 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/grocery-report-pipeline-tcb59c,origin/main,unmerged_agent_work,,336b389,last commit 2026-07-04; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/gifted-pasteur-ogkmpk,origin/main,unmerged_agent_work,,54569a6,last commit 2026-07-04; 16 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-validation-agent-e2urgv,origin/main,unmerged_agent_work,,c069475,last commit 2026-07-04; 7 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-validation-agent-b31gr0,origin/main,unmerged_agent_work,,797fea3,last commit 2026-07-04; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-validation-agent-1stscr,origin/main,unmerged_agent_work,,9f104c0,last commit 2026-07-04; 13 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-title-agent-2b94t9,origin/main,unmerged_agent_work,,bf3cd6e,last commit 2026-07-04; 16 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/awesome-johnson-u7ofp4,origin/main,unmerged_agent_work,,f731f8e,last commit 2026-07-04; 8 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/31-12n-24-roger-mills-report-8qtfu7,origin/main,unmerged_agent_work,,96bfc13,last commit 2026-07-04; 9 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/landman-quality-review-k56vhj,origin/main,unmerged_agent_work,,363be5a,last commit 2026-07-03; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/execution-directive-4snu69,origin/main,unmerged_agent_work,,24bf33e,last commit 2026-07-03; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/roger-mills-title-report-jthyrm,origin/main,unmerged_agent_work,,72ba0d3,last commit 2026-06-27; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/wonderful-archimedes-0gu1zu,origin/main,unmerged_agent_work,,91f1e12,last commit 2026-06-25; 6 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/happy-brown-0qvfww,origin/main,unmerged_agent_work,,0e5f032,last commit 2026-06-25; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/dreamy-shannon-gx004q,origin/main,unmerged_agent_work,,937316d,last commit 2026-06-25; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/busy-gates-rzqaiz,origin/main,unmerged_agent_work,,44b080c,last commit 2026-06-25; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-setup-zaumek,origin/main,unmerged_agent_work,,e8c97d4,last commit 2026-06-20; 8 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/sharp-bardeen-rzlyei,origin/main,unmerged_agent_work,,1f384de,last commit 2026-06-18; 5 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/peaceful-babbage-fvos07,origin/main,unmerged_agent_work,,1c1267e,last commit 2026-06-18; 14 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/nifty-euler-yo06mc,origin/main,unmerged_agent_work,,5a13024,last commit 2026-06-18; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/lucid-johnson-wuwnn0,origin/main,unmerged_agent_work,,2984d82,last commit 2026-06-18; 7 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/horizon-title-link-extractor-7vjeug,origin/main,unmerged_agent_work,,38fd4e0,last commit 2026-06-18; 4 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/confident-dijkstra-bwmzkr,origin/main,unmerged_agent_work,,04f5eda,last commit 2026-06-18; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/zealous-goldberg-i8whfp,origin/main,unmerged_agent_work,,8a15831,last commit 2026-06-08; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/youthful-lamport-aLx0c,origin/main,unmerged_agent_work,,e9e948c,last commit 2026-06-07; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/youthful-davinci-9q5Oz,origin/main,unmerged_agent_work,,1156cef,last commit 2026-06-07; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/section-27-diversified-title-factory-gz299,origin/main,unmerged_agent_work,,ced5931,last commit 2026-06-07; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/optimistic-hamilton-CgKVJ,origin/main,unmerged_agent_work,,b9ad81f,last commit 2026-06-07; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/landman-report-system-plan-gmoDf,origin/main,unmerged_agent_work,,d61c7e9,last commit 2026-06-07; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/databossx-local-clone-qwSMV,origin/main,unmerged_agent_work,,7289deb,last commit 2026-06-05; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/doto-image-commander-BMEnu,origin/main,fully_merged_or_identical_to_main,,556ff27,last commit 2026-05-28; 0 commits ahead of main,delete branch (owner action; zero unique commits),none — no unique work lost
git_branch,origin/claude/document-classifier-app-YARLY,origin/main,unmerged_agent_work,,779e7ae,last commit 2026-04-15; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/define-app-requirements-01CQimWRtHx2fPTkSVKTrbVE,origin/main,unmerged_agent_work,,2dcf3f1,last commit 2025-12-12; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/navigate-desktop-folder-01Xu4WxEBK3SePReZdkLAQyX,origin/main,unmerged_agent_work,,994063a,last commit 2025-12-05; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/build-streamlit-command-center-01WGgFcLvQqHWrSZBQWya76H,origin/main,unmerged_agent_work,,220c9fe,last commit 2025-12-03; 2 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/build-streamlit-command-center-01AxEkfemw7BeruDqHnR92S7,origin/main,unmerged_agent_work,,0356bb9,last commit 2025-12-03; 3 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/upgrade-repo-01D1eGwrfBjvpMYLioEt6Jtj,origin/main,unmerged_agent_work,,778b399,last commit 2025-11-29; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/claude/fix-repository-011smdbqjmqEVGWeDqpnhT29,origin/main,unmerged_agent_work,,417b56b,last commit 2025-11-29; 1 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/upgrade,origin/main,unmerged_agent_work,,a7f7ea0,last commit 2025-05-22; 15 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
git_branch,origin/devon_upgrade_2025_05_22,origin/main,unmerged_agent_work,,fa63f54,last commit 2025-05-22; 15 commits ahead of main,"classify per disposition register; keep draft, no merge",varies
legacy_backend,backend/server.py,(none),quarantine_ruled_do_not_deploy,,582d951,"Jul-22 ruling on integration branch: unauthenticated API, permissive CORS, unbounded upload","keep code, keep ruling visible on main; never deploy/expose",high if deployed; none at rest
stale_status_doc,PROJECT_STATUS.md,(none),superseded_by_newer_branch_work,3615,582d951,"dated 2026-07-04, describes Grocery lane as latest; 13 newer PRs exist",update or mark historical; do not treat as current truth,none
stale_status_doc,TODO_NOW.md,(none),superseded,2064,582d951,"targets Monday Jul 6 2026 delivery, long past",mark historical,none
duplicate_pr,PR #7 vs PR #8 (title-link extractor),(register),byte-near-duplicate,,,"identical titles/scope, same day Jun 18","compare, keep one as donor, close other (owner gate)",none
