Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-011,Title,Title!183 — Mineral Owner cell,"S. A. Garrett, or his unlocated successors and assigns",Unresolved successors of S. A. Garrett (last proved record owner) — chain-out not located,Owner display text — restore unresolved wording,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 7",ASSUMED: 35.000000 NMA residual vests in last record owner; Garrett chain-out not located.,HIGH — the workbook's own V7 receipt and hidden PRESENT VESTING CONTROL sheet both classify this as unresolved,NONE — text cell only; Net Acres value unchanged at 35.000000,"NONE — NMA unchanged, tract total continues to foot to the tract acreage",No address of record,Section 4: a named party with no supported conveyance or vesting into it is not a proved current owner. The V7 receipt states these placeholder rows were deliberately converted from UNRESOLVED RESIDUAL / UNRESOLVED RECORD OWNER into named parties. Restore expressly unresolved wording and identify visually as unresolved.,CRITICAL if left as-is — a reader treats an assumed successor as a located owner,APPLY
P-012,Title,Title!69 — Assumptions & Notes cell,Vested: DECR 845/150-152 and 845/157; EST.\*,Vested: DECR 845/150-152 and 845/157; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-013,Title,Title!70 — Assumptions & Notes cell,Vested: DECR 845/150-152 and 845/157; EST.\*,Vested: DECR 845/150-152 and 845/157; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-014,Title,Title!71 — Assumptions & Notes cell,Vested: DECR 845/150-152 and 845/157; EST.\*,Vested: DECR 845/150-152 and 845/157; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-015,Title,Title!72 — Assumptions & Notes cell,Vested: MD 92/47; EST.\*,Vested: MD 92/47; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-016,Title,Title!74 — Assumptions & Notes cell,Vested: MD 367/632; EST.\*,Vested: MD 367/632; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-017,Title,Title!75 — Assumptions & Notes cell,Vested: DECR 845/150-152 and 845/157; EST.\*,Vested: DECR 845/150-152 and 845/157; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-018,Title,Title!76 — Assumptions & Notes cell,Vested: MD 250/26; EST.\*,Vested: MD 250/26; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-019,Title,Title!77 — Assumptions & Notes cell,Vested: DECR 845/150-152 and 845/157; EST.\*,Vested: DECR 845/150-152 and 845/157; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 1",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-020,Title,Title!85 — Assumptions & Notes cell,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-021,Title,Title!86 — Assumptions & Notes cell,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-022,Title,Title!87 — Assumptions & Notes cell,Vested: MD 85/365 corr. 87/174; EST.\*,Vested: MD 85/365 corr. 87/174; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-023,Title,Title!88 — Assumptions & Notes cell,Vested: MD 1287/42; EST.\*,Vested: MD 1287/42; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 2",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
